task,case,arm,repeat,stage,candidate,status,candidate_ms,reference_ms,ratio,failure_stage,error,reference_timing_note,reference_correction,original_status,evaluation_repaired,reused_from
rsqrt,upstream-profile-8,triton,0,generation,1,pass,0.005888000130653381,,,,,The unchanged PyTorch reference branches on torch.any(input < 0); CUDA Graph cannot capture its Python data-dependent control. It remains the numerical oracle; candidate operator timing is still CUDA Graph.,,execution_failure,True,report/agent-tritonbench/expanded
tanh,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,"at 5:35:
def tanh_kernel(input_ptr, output_ptr, n_elements, BLOCK: tl.constexpr):
    offsets = tl.program_id(0) * BLOCK + tl.arange(0, BLOCK)
    mask = offsets < n_elements
    values = tl.load(input_ptr + offsets, mask=mask)
    tl.store(output_ptr + offsets, tl.tanh(values), mask=mask)
                                   ^
AttributeError(""module 'triton.language' has no attribute 'tanh'"")",,,,,report/agent-tritonbench/expanded
sqrt,upstream-profile-8,triton,0,generation,1,pass,0.005839999997988343,0.007840000092983246,0.7448979500925146,,,,,,,report/agent-tritonbench/expanded
tanh,upstream-profile-8,triton,0,generation,2,pass,0.006704000057652593,0.007823999971151352,0.8568507262744859,,,,,,,report/agent-tritonbench/expanded
rsqrt,upstream-profile-8,triton,0,generation,2,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,report/agent-tritonbench/expanded
fused_index_select_eq,upstream-profile-1,triton,0,generation,1,pass,0.0038720000302419066,0.005888000130653381,0.6576086861961801,,,,,,,report/agent-tritonbench/expanded
grid_sample,upstream-profile-0,triton,0,generation,1,pass,0.028320000506937504,0.028744000010192394,0.985249112750329,,,,,,,report/agent-tritonbench/expanded
rsqrt,upstream-profile-8,triton,0,generation,3,execution_failure,,,,source_benchmark,"CUDA error: operation failed due to a previous error during capture
Search for `cudaErrorStreamCaptureInvalidated' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",,,,,report/agent-tritonbench/expanded
argmax,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,"at 13:17:
    input_ptr,
    partial_values_ptr,
    partial_indices_ptr,
    n_elements,
    BLOCK: tl.constexpr,
):
    pid = tl.program_id(0)
    offsets = pid * BLOCK + tl.arange(0, BLOCK)
    valid = offsets < n_elements

    values = tl.load(input_ptr + offsets, mask=valid, other=-float(""inf""))
    nan_values = tl.isnan(values)
                 ^
AttributeError(""module 'triton.language' has no attribute 'isnan'"")",,,,,report/agent-tritonbench/expanded
max,upstream-profile-8,triton,0,generation,1,pass,0.009320000186562538,0.012640000320971012,0.73734176818807,,,,,,,report/agent-tritonbench/expanded
