kernel,case,generated_p50_ms,source_p50_ms,ratio,status
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks128,,,,provider_jit_or_initial_launch_failed
dense_flash_attention,B4-S4096-H32-D128-fp16-causal,4.758192,3.543872,1.342654,pass
varlen_gqa_prefill,packed8-QH32-KVH8-D128-fp16-causal,12.655392,4.727456,2.676998,pass
gqa_decode,B32-QH32-KVH8-S8192-D128-fp16,,,,provider_program_failed
varlen_gqa_decode_logits,B16-QH32-KVH8-S4096-D64-fp16,,,,provider_program_failed
paged_mla_decode,B32-QH128-KVH1-S8192-V128-R64-page64-fp16,,,,provider_program_failed
persistent_mla_decode,B8-H64-S16384-C128-R64-split4-fp16,,,,intent_implementation_gap
conv2d,NHWC32x128x128x256-K3x3x256x512-fp16,6.003344,5.906016,1.016479,pass
dense_gemm,M4096-N14336-K4096-fp16,1.503008,2.166912,0.693617,pass
w4a8_gemm,M4096-N14336-K4096-int8-int4,,,,worker_timeout
fp8_gemm,M4096-N14336-K4096-e4m3,0.870752,1.142768,0.761967,pass
grouped_gemm,rows256-512-1024-2048-K4096-N4096-fp16,1.585168,0.612752,2.586965,pass
sparse_2to4_gemm,M8192-N14336-K8192-fp16,5.809760,5.828320,0.996816,pass
deepgemm_fp8_2xacc,M4096-N4096-K4096-e4m3-bf16,0.274800,0.288768,0.951629,pass
online_softmax,8192x8192-fp16,0.127760,0.094112,1.357531,pass
deepseek_topk_selector,B32-S32768-topk2048-fp32,,,,intent_implementation_gap
rms_norm,8192x4096-fp32,0.093008,0.093664,0.992996,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-fp16,,,,worker_timeout
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-fp16,,,,provider_program_failed
linear_attention_forward,B1-S2048-H16-D128-fp16,,,,provider_program_failed
linear_attention_backward,B1-S2048-H16-D128-fp16,,,,provider_program_failed
retention_forward,B1-S2048-H16-D128-fp16,,,,provider_jit_or_initial_launch_failed
mhc_pre,T2048-H4096-streams4-bf16,,,,provider_jit_or_initial_launch_failed
block_causal_attention,B2-S4096-H16-D128-block64-fp16,1.723136,0.365104,4.719575,pass
varlen_block_causal_attention,lengths4096-3840-3584-3328-H16-D128-fp16,,,,worker_timeout
native_sparse_attention_forward,B2-S4096-QH32-KVH2-D128-blocks64,,,,provider_program_failed
native_sparse_attention_decode,B8-S8192-QH32-KVH2-D128-blocks32,,,,provider_program_failed
gqa_attention_backward,B1-S4096-QH32-KVH8-D64-fp16-causal,3.117296,1.005312,3.100825,pass
sparse_mla_backward,B1-S4096-SKV8192-H64-D576-topk2048-bf16,,,,provider_program_failed
fp8_lighting_indexer,S4096-SKV8192-H32-D64-fp8,,,,provider_jit_or_initial_launch_failed
per_token_fp8,8192x8192-group128-f32-e4m3,,,,provider_program_failed
block_sparse_gemm,M4096-N4096-K4096-block128x128x32-50pct,0.338960,0.329680,1.028148,pass
grouped_gemm_backward,rows256-512-1024-2048-K4096-N4096-fp16,0.572112,1.029472,0.555733,pass
bitnet_int2_decode,M1-N4096-K4096-int8-int2,0.030432,0.007328,4.152839,pass
dequant_bf16_fp4,M4096-N4096-K4096-bf16-fp4,,,,worker_timeout
block_fp4_quant,8192x4096-block32-bf16,,,,intent_implementation_gap
mhc_post,T4096-H2560-streams4-bf16,,,,provider_jit_or_initial_launch_failed
