kernel,case,generated_p50_ms,source_p50_ms,ratio,status
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks128,,,,provider_jit_or_initial_launch_failed
dense_flash_attention,B4-S4096-H32-D128-fp16-causal,5.423760,3.743136,1.448988,pass
varlen_gqa_prefill,packed8-QH32-KVH8-D128-fp16-causal,10.565296,6.377488,1.656655,pass
gqa_decode,B32-QH32-KVH8-S8192-D128-fp16,,,,provider_jit_or_initial_launch_failed
varlen_gqa_decode_logits,B16-QH32-KVH8-S4096-D64-fp16,,,,physical_program_failed
paged_mla_decode,B32-QH128-KVH1-S8192-V128-R64-page64-fp16,,,,provider_program_failed
persistent_mla_decode,B8-H64-S16384-C128-R64-split4-fp16,,,,intent_implementation_gap
conv2d,NHWC32x128x128x256-K3x3x256x512-fp16,,,,physical_program_failed
dense_gemm,M4096-N14336-K4096-fp16,2.048512,2.313216,0.885569,pass
w4a8_gemm,M4096-N14336-K4096-int8-int4,1.203104,1.395712,0.862000,pass
fp8_gemm,M4096-N14336-K4096-e4m3,1.046304,1.132544,0.923853,pass
grouped_gemm,rows256-512-1024-2048-K4096-N4096-fp16,0.650368,0.589072,1.104055,pass
sparse_2to4_gemm,M8192-N14336-K8192-fp16,4.679728,4.828448,0.969199,pass
deepgemm_fp8_2xacc,M4096-N4096-K4096-e4m3-bf16,,,,provider_program_failed
online_softmax,8192x8192-fp16,0.177408,0.182272,0.973315,pass
deepseek_topk_selector,B32-S32768-topk2048-fp32,,,,intent_implementation_gap
rms_norm,8192x4096-fp32,0.175360,0.180224,0.973011,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-fp16,0.038544,0.037056,1.040155,pass
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-fp16,0.020480,0.018432,1.111111,pass
linear_attention_forward,B1-S2048-H16-D128-fp16,,,,physical_program_failed
linear_attention_backward,B1-S2048-H16-D128-fp16,,,,intent_implementation_gap
retention_forward,B1-S2048-H16-D128-fp16,,,,physical_program_failed
mhc_pre,T2048-H4096-streams4-bf16,,,,worker_timeout
block_causal_attention,B2-S4096-H16-D128-block64-fp16,1.530768,0.458384,3.339488,pass
varlen_block_causal_attention,lengths4096-3840-3584-3328-H16-D128-fp16,,,,physical_program_failed
native_sparse_attention_forward,B2-S4096-QH32-KVH4-D128-blocks64,,,,provider_program_failed
native_sparse_attention_decode,B8-S8192-QH32-KVH2-D128-blocks32,,,,provider_program_failed
gqa_attention_backward,B1-S4096-QH32-KVH8-D64-fp16-causal,2.616416,0.828640,3.157482,pass
sparse_mla_backward,B1-S4096-SKV8192-H64-D576-topk2048-bf16,,,,intent_implementation_gap
fp8_lighting_indexer,S4096-SKV8192-H32-D64-fp8,,,,provider_program_failed
per_token_fp8,8192x8192-group128-f32-e4m3,0.298752,0.216736,1.378414,pass
block_sparse_gemm,M4096-N4096-K4096-block128x128x32-50pct,0.334896,0.382624,0.875261,pass
grouped_gemm_backward,rows256-512-1024-2048-K4096-N4096-fp16,,,,provider_program_failed
bitnet_int2_decode,M1-N4096-K4096-int8-int2,,,,intent_implementation_gap
dequant_bf16_fp4,M4096-N4096-K4096-bf16-fp4,,,,intent_implementation_gap
block_fp4_quant,8192x4096-block32-bf16,,,,intent_implementation_gap
mhc_post,T4096-H2560-streams4-bf16,0.211968,0.131072,1.617188,pass
